date,time,temperature_C,pressure_mb,humidity,wind_kph,description
2008-10-19,24,32,1008,88,4,Patchy rain possible
2008-10-20,24,31,1008,90,4,Moderate or heavy rain shower
2008-10-21,24,31,1008,88,6,Moderate or heavy rain shower
2008-10-22,24,32,1009,87,4,Moderate or heavy rain shower
2008-10-23,24,30,1010,91,5,Moderate or heavy rain shower
2008-10-24,24,29,1011,92,8,Moderate or heavy rain shower
2008-10-25,24,31,1011,88,9,Patchy rain possible
2008-10-26,24,30,1012,88,4,Moderate or heavy rain shower
2008-10-27,24,31,1011,89,4,Moderate rain at times
2008-10-28,24,29,1010,92,5,Moderate or heavy rain shower
2008-10-29,24,28,1008,94,7,Heavy rain at times
2008-10-30,24,29,1009,92,5,Moderate or heavy rain shower
2008-10-31,24,29,1010,94,7,Moderate or heavy rain shower
2008-11-01,24,29,1010,94,5,Moderate or heavy rain shower
2008-11-02,24,29,1010,92,4,Moderate or heavy rain shower
2008-11-03,24,30,1011,89,5,Moderate or heavy rain shower
2008-11-04,24,30,1010,91,6,Moderate or heavy rain shower
2008-11-05,24,30,1009,91,7,Moderate or heavy rain shower
2008-11-06,24,31,1008,87,7,Moderate or heavy rain shower
2008-11-07,24,31,1008,88,7,Moderate or heavy rain shower
2008-11-08,24,32,1008,86,5,Patchy rain possible
2008-11-09,24,31,1009,89,4,Moderate or heavy rain shower
2008-11-10,24,31,1010,86,5,Moderate or heavy rain shower
2008-11-11,24,31,1010,86,6,Sunny
2008-11-12,24,31,1010,80,7,Sunny
2008-11-13,24,31,1009,78,9,Partly cloudy
2008-11-14,24,28,1009,81,11,Moderate or heavy rain shower
2008-11-15,24,30,1009,92,5,Moderate or heavy rain shower
2008-11-16,24,30,1007,87,4,Patchy rain possible
2008-11-17,24,29,1007,88,7,Moderate rain at times
2008-11-18,24,31,1008,86,7,Moderate rain at times
2008-11-19,24,31,1010,86,6,Moderate or heavy rain shower
2008-11-20,24,31,1011,85,6,Patchy rain possible
2008-11-21,24,31,1011,87,5,Moderate or heavy rain shower
2008-11-22,24,29,1011,89,6,Moderate or heavy rain shower
2008-11-23,24,31,1010,89,4,Moderate or heavy rain shower
2008-11-24,24,31,1010,88,6,Moderate or heavy rain shower
2008-11-25,24,30,1011,89,7,Moderate or heavy rain shower
2008-11-26,24,30,1011,88,6,Moderate or heavy rain shower
2008-11-27,24,29,1011,89,16,Moderate or heavy rain shower
2008-11-28,24,26,1012,87,12,Moderate or heavy rain shower
2008-11-29,24,25,1013,85,11,Heavy rain at times
2008-11-30,24,25,1013,88,9,Moderate rain at times
2008-12-01,24,29,1012,82,8,Partly cloudy
2008-12-02,24,30,1011,80,5,Patchy rain possible
2008-12-03,24,30,1010,81,5,Sunny
2008-12-04,24,30,1010,81,5,Moderate rain at times
2008-12-05,24,27,1012,91,9,Moderate rain at times
2008-12-06,24,29,1012,86,7,Moderate or heavy rain shower
2008-12-07,24,30,1012,82,7,Cloudy
2008-12-08,24,31,1012,78,8,Sunny
2008-12-09,24,30,1012,78,7,Partly cloudy
2008-12-10,24,30,1012,80,4,Sunny
2008-12-11,24,30,1011,81,5,Partly cloudy
2008-12-12,24,32,1010,80,2,Cloudy
2008-12-13,24,32,1011,80,4,Patchy rain possible
2008-12-14,24,32,1011,82,6,Patchy rain possible
2008-12-15,24,31,1011,77,5,Patchy rain possible
2008-12-16,24,30,1011,74,6,Partly cloudy
2008-12-17,24,30,1013,75,6,Partly cloudy
2008-12-18,24,30,1012,76,5,Patchy rain possible
2008-12-19,24,30,1011,75,5,Patchy rain possible
2008-12-20,24,31,1011,73,4,Sunny
2008-12-21,24,31,1011,74,4,Partly cloudy
2008-12-22,24,32,1011,70,5,Partly cloudy
2008-12-23,24,32,1011,69,6,Partly cloudy
2008-12-24,24,29,1010,77,8,Moderate or heavy rain shower
2008-12-25,24,31,1010,80,5,Moderate rain at times
2008-12-26,24,31,1010,86,4,Moderate or heavy rain shower
2008-12-27,24,28,1009,86,6,Moderate or heavy rain shower
2008-12-28,24,29,1009,87,5,Moderate or heavy rain shower
2008-12-29,24,27,1009,92,6,Moderate or heavy rain shower
2008-12-30,24,27,1009,92,7,Moderate or heavy rain shower
2008-12-31,24,26,1009,96,6,Moderate or heavy rain shower
2009-01-01,24,29,1010,89,6,Moderate or heavy rain shower
2009-01-02,24,28,1011,82,9,Moderate rain at times
2009-01-03,24,26,1012,88,6,Heavy rain at times
2009-01-04,24,29,1011,82,4,Partly cloudy
2009-01-05,24,30,1011,77,5,Partly cloudy
2009-01-06,24,30,1011,77,5,Partly cloudy
2009-01-07,24,31,1012,80,5,Partly cloudy
2009-01-08,24,30,1013,73,7,Sunny
2009-01-09,24,29,1014,66,11,Sunny
2009-01-10,24,28,1014,65,11,Cloudy
2009-01-11,24,28,1014,69,8,Partly cloudy
2009-01-12,24,29,1016,69,5,Cloudy
2009-01-13,24,29,1017,63,10,Partly cloudy
2009-01-14,24,30,1017,64,9,Sunny
2009-01-15,24,30,1016,65,8,Cloudy
2009-01-16,24,29,1015,67,6,Sunny
2009-01-17,24,30,1014,66,6,Sunny
2009-01-18,24,31,1013,68,5,Sunny
2009-01-19,24,31,1012,66,6,Sunny
2009-01-20,24,31,1011,67,6,Sunny
2009-01-21,24,32,1011,64,5,Sunny
2009-01-22,24,32,1010,67,4,Cloudy
2009-01-23,24,30,1010,75,6,Cloudy
2009-01-24,24,29,1012,72,7,Moderate or heavy rain shower
2009-01-25,24,31,1012,65,6,Partly cloudy
2009-01-26,24,32,1012,63,4,Partly cloudy
2009-01-27,24,32,1011,61,6,Sunny
2009-01-28,24,32,1011,60,6,Sunny
2009-01-29,24,32,1011,60,6,Sunny
2009-01-30,24,33,1011,62,5,Sunny
2009-01-31,24,32,1011,62,8,Sunny
2009-02-01,24,33,1012,61,7,Sunny
2009-02-02,24,32,1012,58,6,Sunny
2009-02-03,24,32,1011,65,6,Cloudy
2009-02-04,24,32,1011,64,7,Sunny
2009-02-05,24,31,1011,65,6,Patchy rain possible
2009-02-06,24,33,1012,55,7,Sunny
2009-02-07,24,32,1011,57,7,Sunny
2009-02-08,24,33,1012,58,5,Sunny
2009-02-09,24,34,1011,61,6,Partly cloudy
2009-02-10,24,32,1011,73,5,Heavy rain at times
2009-02-11,24,28,1010,86,4,Moderate or heavy rain shower
2009-02-12,24,29,1009,78,5,Moderate or heavy rain shower
2009-02-13,24,31,1008,70,5,Moderate rain at times
2009-02-14,24,32,1008,70,7,Moderate rain at times
2009-02-15,24,29,1009,85,7,Heavy rain at times
2009-02-16,24,32,1010,72,6,Cloudy
2009-02-17,24,32,1010,64,9,Partly cloudy
2009-02-18,24,32,1009,65,8,Patchy rain possible
2009-02-19,24,35,1009,59,12,Sunny
2009-02-20,24,34,1011,61,8,Patchy rain possible
2009-02-21,24,35,1009,58,11,Sunny
2009-02-22,24,35,1008,56,8,Partly cloudy
2009-02-23,24,34,1009,57,7,Partly cloudy
2009-02-24,24,35,1009,58,9,Partly cloudy
2009-02-25,24,35,1009,59,11,Sunny
2009-02-26,24,35,1009,55,10,Partly cloudy
2009-02-27,24,33,1009,65,8,Moderate or heavy rain shower
2009-02-28,24,28,1010,82,5,Heavy rain at times
2009-03-01,24,33,1009,68,8,Patchy rain possible
2009-03-02,24,35,1009,59,10,Partly cloudy
2009-03-03,24,33,1009,64,11,Patchy rain possible
2009-03-04,24,35,1009,64,9,Moderate rain at times
2009-03-05,24,32,1010,78,5,Heavy rain at times
2009-03-06,24,32,1010,80,6,Moderate or heavy rain shower
2009-03-07,24,31,1011,83,9,Heavy rain at times
2009-03-08,24,32,1011,80,9,Moderate rain at times
2009-03-09,24,33,1012,75,8,Heavy rain at times
2009-03-10,24,35,1011,61,9,Sunny
2009-03-11,24,35,1010,59,8,Patchy rain possible
2009-03-12,24,34,1011,60,8,Partly cloudy
2009-03-13,24,35,1012,56,6,Partly cloudy
2009-03-14,24,33,1012,60,6,Patchy rain possible
2009-03-15,24,35,1011,57,5,Partly cloudy
2009-03-16,24,34,1010,57,6,Patchy rain possible
2009-03-17,24,33,1010,61,10,Moderate or heavy rain shower
2009-03-18,24,34,1010,64,10,Patchy rain possible
2009-03-19,24,34,1009,63,10,Partly cloudy
2009-03-20,24,35,1010,61,12,Sunny
2009-03-21,24,35,1010,61,9,Moderate rain at times
2009-03-22,24,34,1010,65,7,Heavy rain at times
2009-03-23,24,34,1011,60,7,Cloudy
2009-03-24,24,35,1011,60,8,Patchy rain possible
2009-03-25,24,36,1011,59,6,Partly cloudy
2009-03-26,24,35,1011,57,10,Patchy rain possible
2009-03-27,24,36,1011,58,11,Sunny
2009-03-28,24,35,1011,63,6,Partly cloudy
2009-03-29,24,36,1010,55,6,Partly cloudy
2009-03-30,24,36,1009,56,8,Patchy rain possible
2009-03-31,24,36,1009,62,8,Moderate or heavy rain shower
2009-04-01,24,34,1009,65,8,Moderate or heavy rain shower
2009-04-02,24,32,1009,67,8,Moderate or heavy rain shower
2009-04-03,24,34,1010,72,8,Patchy rain possible
2009-04-04,24,36,1010,70,7,Partly cloudy
2009-04-05,24,34,1010,75,7,Moderate or heavy rain shower
2009-04-06,24,33,1009,82,6,Moderate or heavy rain shower
2009-04-07,24,32,1010,75,7,Moderate or heavy rain shower
2009-04-08,24,33,1009,65,9,Moderate or heavy rain shower
2009-04-09,24,33,1009,67,9,Patchy rain possible
2009-04-10,24,34,1009,67,7,Moderate or heavy rain shower
2009-04-11,24,33,1009,66,6,Moderate or heavy rain shower
2009-04-12,24,33,1009,73,5,Moderate rain at times
2009-04-13,24,31,1007,83,6,Heavy rain at times
2009-04-14,24,33,1008,80,5,Overcast
2009-04-15,24,33,1009,82,4,Moderate or heavy rain shower
2009-04-16,24,33,1008,80,7,Moderate or heavy rain shower
2009-04-17,24,34,1007,74,7,Partly cloudy
2009-04-18,24,35,1008,76,10,Overcast
2009-04-19,24,33,1008,83,10,Heavy rain at times
2009-04-20,24,33,1006,79,10,Moderate or heavy rain shower
2009-04-21,24,33,1006,83,7,Moderate rain at times
2009-04-22,24,33,1007,83,7,Patchy rain possible
2009-04-23,24,33,1008,83,9,Patchy rain possible
2009-04-24,24,31,1008,88,8,Moderate or heavy rain shower
2009-04-25,24,31,1009,86,7,Moderate or heavy rain shower
2009-04-26,24,30,1010,90,6,Moderate or heavy rain shower
2009-04-27,24,31,1010,86,5,Moderate or heavy rain shower
2009-04-28,24,32,1010,81,5,Heavy rain at times
2009-04-29,24,31,1010,85,6,Moderate or heavy rain shower
2009-04-30,24,30,1009,88,4,Moderate or heavy rain shower
2009-05-01,24,30,1009,89,4,Moderate or heavy rain shower
2009-05-02,24,31,1009,89,4,Moderate or heavy rain shower
2009-05-03,24,28,1009,93,5,Moderate or heavy rain shower
2009-05-04,24,31,1008,85,7,Partly cloudy
2009-05-05,24,29,1009,83,3,Patchy rain possible
2009-05-06,24,32,1008,78,5,Patchy rain possible
2009-05-07,24,31,1007,87,5,Moderate or heavy rain shower
2009-05-08,24,32,1007,86,5,Moderate or heavy rain shower
2009-05-09,24,30,1006,89,7,Moderate or heavy rain shower
2009-05-10,24,30,1007,90,7,Moderate or heavy rain shower
2009-05-11,24,30,1008,87,7,Moderate or heavy rain shower
2009-05-12,24,31,1008,85,6,Moderate rain at times
2009-05-13,24,32,1007,83,8,Heavy rain at times
2009-05-14,24,32,1007,83,6,Patchy rain possible
2009-05-15,24,32,1008,83,9,Moderate or heavy rain shower
2009-05-16,24,32,1009,86,10,Moderate or heavy rain shower
2009-05-17,24,32,1010,86,9,Moderate or heavy rain shower
2009-05-18,24,32,1009,84,8,Heavy rain at times
2009-05-19,24,32,1009,86,5,Partly cloudy
2009-05-20,24,30,1008,89,6,Moderate or heavy rain shower
2009-05-21,24,32,1009,87,5,Moderate or heavy rain shower
2009-05-22,24,31,1008,82,8,Moderate or heavy rain shower
2009-05-23,24,30,1008,91,6,Heavy rain at times
2009-05-24,24,31,1006,92,4,Moderate or heavy rain shower
2009-05-25,24,28,1007,95,6,Moderate or heavy rain shower
2009-05-26,24,30,1007,92,7,Moderate or heavy rain shower
2009-05-27,24,30,1007,90,7,Moderate or heavy rain shower
2009-05-28,24,31,1008,88,8,Moderate or heavy rain shower
2009-05-29,24,30,1009,90,4,Moderate or heavy rain shower
2009-05-30,24,31,1009,89,6,Moderate or heavy rain shower
2009-05-31,24,33,1009,85,5,Patchy rain possible
2009-06-01,24,31,1008,88,6,Moderate or heavy rain shower
2009-06-02,24,29,1008,92,10,Moderate or heavy rain shower
2009-06-03,24,28,1008,93,11,Moderate or heavy rain shower
2009-06-04,24,29,1008,88,11,Moderate or heavy rain shower
2009-06-05,24,31,1008,85,8,Moderate rain at times
2009-06-06,24,31,1008,87,7,Moderate rain at times
2009-06-07,24,32,1008,80,9,Patchy rain possible
2009-06-08,24,33,1008,80,10,Sunny
2009-06-09,24,30,1009,86,9,Moderate or heavy rain shower
2009-06-10,24,30,1009,89,8,Moderate or heavy rain shower
2009-06-11,24,30,1009,89,7,Moderate or heavy rain shower
2009-06-12,24,34,1009,79,8,Sunny
2009-06-13,24,33,1009,76,9,Sunny
2009-06-14,24,33,1008,81,10,Moderate rain at times
2009-06-15,24,30,1006,90,9,Moderate or heavy rain shower
2009-06-16,24,29,1007,94,9,Moderate or heavy rain shower
2009-06-17,24,29,1008,91,8,Moderate or heavy rain shower
2009-06-18,24,30,1008,91,6,Moderate or heavy rain shower
2009-06-19,24,29,1008,91,8,Moderate or heavy rain shower
2009-06-20,24,31,1008,90,8,Moderate or heavy rain shower
2009-06-21,24,30,1008,90,9,Moderate or heavy rain shower
2009-06-22,24,30,1008,90,7,Moderate or heavy rain shower
2009-06-23,24,31,1008,88,6,Moderate or heavy rain shower
2009-06-24,24,32,1007,88,6,Moderate or heavy rain shower
2009-06-25,24,32,1007,88,8,Moderate or heavy rain shower
2009-06-26,24,31,1008,89,7,Moderate or heavy rain shower
2009-06-27,24,31,1008,89,8,Moderate or heavy rain shower
2009-06-28,24,30,1009,90,6,Moderate or heavy rain shower
2009-06-29,24,31,1009,88,5,Moderate or heavy rain shower
2009-06-30,24,32,1009,87,4,Moderate or heavy rain shower
2009-07-01,24,31,1010,90,4,Moderate or heavy rain shower
2009-07-02,24,32,1009,88,5,Moderate or heavy rain shower
2009-07-03,24,30,1008,91,6,Moderate or heavy rain shower
2009-07-04,24,30,1009,89,6,Moderate or heavy rain shower
2009-07-05,24,30,1010,90,5,Moderate or heavy rain shower
2009-07-06,24,32,1010,86,4,Moderate or heavy rain shower
2009-07-07,24,32,1009,85,8,Partly cloudy
2009-07-08,24,31,1009,88,6,Moderate rain at times
2009-07-09,24,33,1008,84,5,Moderate or heavy rain shower
2009-07-10,24,32,1006,86,8,Moderate or heavy rain shower
2009-07-11,24,30,1004,90,9,Moderate or heavy rain shower
2009-07-12,24,30,1004,92,10,Moderate or heavy rain shower
2009-07-13,24,27,1006,94,12,Heavy rain at times
2009-07-14,24,29,1007,90,9,Moderate or heavy rain shower
2009-07-15,24,26,1007,96,8,Moderate or heavy rain shower
2009-07-16,24,28,1005,95,12,Moderate or heavy rain shower
2009-07-17,24,28,1006,94,12,Moderate or heavy rain shower
2009-07-18,24,28,1007,92,10,Moderate or heavy rain shower
2009-07-19,24,31,1008,89,9,Moderate or heavy rain shower
2009-07-20,24,29,1009,94,8,Moderate or heavy rain shower
2009-07-21,24,30,1009,92,8,Moderate or heavy rain shower
2009-07-22,24,27,1008,97,8,Moderate or heavy rain shower
2009-07-23,24,29,1008,92,8,Moderate or heavy rain shower
2009-07-24,24,29,1009,91,9,Moderate or heavy rain shower
2009-07-25,24,30,1009,91,9,Moderate or heavy rain shower
2009-07-26,24,30,1009,90,9,Moderate or heavy rain shower
2009-07-27,24,30,1008,92,9,Moderate or heavy rain shower
2009-07-28,24,29,1009,94,10,Moderate or heavy rain shower
2009-07-29,24,30,1010,87,11,Moderate or heavy rain shower
2009-07-30,24,29,1009,90,11,Moderate or heavy rain shower
2009-07-31,24,29,1007,89,11,Moderate rain at times
2009-08-01,24,28,1006,91,9,Moderate rain at times
2009-08-02,24,26,1006,97,10,Moderate or heavy rain shower
2009-08-03,24,28,1006,96,9,Moderate or heavy rain shower
2009-08-04,24,28,1006,94,11,Moderate or heavy rain shower
2009-08-05,24,31,1005,90,11,Moderate or heavy rain shower
2009-08-06,24,30,1005,90,11,Moderate or heavy rain shower
2009-08-07,24,30,1006,90,12,Moderate or heavy rain shower
2009-08-08,24,31,1005,87,13,Moderate rain at times
2009-08-09,24,31,1005,88,12,Moderate or heavy rain shower
2009-08-10,24,30,1006,91,12,Moderate or heavy rain shower
2009-08-11,24,30,1008,92,8,Moderate or heavy rain shower
2009-08-12,24,31,1008,90,7,Moderate or heavy rain shower
2009-08-13,24,31,1008,91,7,Moderate or heavy rain shower
2009-08-14,24,33,1010,85,4,Patchy rain possible
2009-08-15,24,33,1011,85,4,Patchy rain possible
2009-08-16,24,33,1010,84,3,Moderate or heavy rain shower
2009-08-17,24,33,1010,83,4,Moderate or heavy rain shower
2009-08-18,24,30,1011,92,4,Moderate or heavy rain shower
2009-08-19,24,32,1011,88,4,Moderate or heavy rain shower
2009-08-20,24,29,1010,94,4,Moderate or heavy rain shower
2009-08-21,24,32,1008,88,5,Moderate or heavy rain shower
2009-08-22,24,32,1008,90,6,Moderate or heavy rain shower
2009-08-23,24,30,1008,92,6,Moderate or heavy rain shower
2009-08-24,24,31,1009,90,5,Moderate or heavy rain shower
2009-08-25,24,32,1008,87,3,Moderate or heavy rain shower
2009-08-26,24,32,1007,87,4,Moderate or heavy rain shower
2009-08-27,24,30,1008,92,6,Moderate rain at times
2009-08-28,24,29,1009,94,8,Moderate or heavy rain shower
2009-08-29,24,30,1009,92,5,Moderate or heavy rain shower
2009-08-30,24,30,1009,91,5,Moderate or heavy rain shower
2009-08-31,24,29,1010,95,6,Moderate or heavy rain shower
2009-09-01,24,29,1008,94,6,Moderate or heavy rain shower
2009-09-02,24,29,1007,93,10,Moderate or heavy rain shower
2009-09-03,24,29,1006,93,12,Moderate or heavy rain shower
2009-09-04,24,28,1006,94,11,Moderate or heavy rain shower
2009-09-05,24,29,1006,94,11,Moderate or heavy rain shower
2009-09-06,24,28,1006,95,13,Moderate or heavy rain shower
2009-09-07,24,26,1007,95,15,Moderate or heavy rain shower
2009-09-08,24,27,1009,95,9,Moderate rain at times
2009-09-09,24,28,1008,94,8,Moderate or heavy rain shower
2009-09-10,24,28,1007,94,7,Moderate or heavy rain shower
2009-09-11,24,29,1008,93,8,Moderate or heavy rain shower
2009-09-12,24,29,1009,93,8,Moderate or heavy rain shower
2009-09-13,24,30,1010,93,7,Moderate or heavy rain shower
2009-09-14,24,29,1010,95,6,Moderate or heavy rain shower
2009-09-15,24,30,1008,92,8,Moderate or heavy rain shower
2009-09-16,24,29,1009,93,6,Moderate or heavy rain shower
2009-09-17,24,32,1011,86,3,Heavy rain at times
2009-09-18,24,33,1011,87,4,Moderate or heavy rain shower
2009-09-19,24,30,1011,94,6,Moderate or heavy rain shower
2009-09-20,24,31,1011,92,7,Moderate or heavy rain shower
2009-09-21,24,30,1010,91,7,Moderate or heavy rain shower
2009-09-22,24,30,1009,90,7,Moderate or heavy rain shower
2009-09-23,24,29,1008,92,7,Moderate rain at times
2009-09-24,24,29,1008,94,8,Moderate or heavy rain shower
2009-09-25,24,29,1007,94,11,Moderate or heavy rain shower
2009-09-26,24,28,1007,94,10,Moderate or heavy rain shower
2009-09-27,24,27,1006,96,9,Heavy rain at times
2009-09-28,24,28,1003,92,15,Moderate rain at times
2009-09-29,24,28,1002,92,15,Patchy rain possible
2009-09-30,24,28,1004,91,12,Moderate rain at times
2009-10-01,24,29,1006,92,7,Moderate rain at times
2009-10-02,24,30,1008,91,5,Moderate or heavy rain shower
2009-10-03,24,29,1009,96,4,Moderate or heavy rain shower
2009-10-04,24,30,1010,93,5,Moderate or heavy rain shower
2009-10-05,24,31,1009,89,6,Moderate or heavy rain shower
2009-10-06,24,29,1008,92,5,Moderate or heavy rain shower
2009-10-07,24,28,1008,95,5,Moderate or heavy rain shower
2009-10-08,24,29,1008,94,6,Moderate or heavy rain shower
2009-10-09,24,28,1008,95,7,Moderate or heavy rain shower
2009-10-10,24,27,1010,95,8,Moderate or heavy rain shower
2009-10-11,24,27,1011,96,5,Moderate or heavy rain shower
2009-10-12,24,30,1011,89,5,Moderate or heavy rain shower
2009-10-13,24,31,1011,86,5,Patchy rain possible
2009-10-14,24,32,1011,87,3,Moderate or heavy rain shower
2009-10-15,24,31,1010,89,2,Heavy rain at times
2009-10-16,24,30,1009,93,4,Moderate or heavy rain shower
2009-10-17,24,29,1008,94,5,Moderate or heavy rain shower
2009-10-18,24,30,1008,94,7,Moderate or heavy rain shower
2009-10-19,24,29,1009,95,5,Moderate or heavy rain shower
2009-10-20,24,29,1010,93,6,Moderate or heavy rain shower
2009-10-21,24,30,1010,92,6,Patchy rain possible
2009-10-22,24,30,1010,91,4,Moderate or heavy rain shower
2009-10-23,24,29,1010,94,6,Moderate or heavy rain shower
2009-10-24,24,29,1009,94,2,Moderate or heavy rain shower
2009-10-25,24,29,1010,94,6,Moderate or heavy rain shower
2009-10-26,24,28,1011,92,7,Moderate or heavy rain shower
2009-10-27,24,31,1011,86,5,Patchy rain possible
2009-10-28,24,32,1011,82,6,Sunny
2009-10-29,24,32,1011,79,6,Partly cloudy
2009-10-30,24,32,1011,82,5,Moderate rain at times
2009-10-31,24,31,1010,83,4,Moderate rain at times
2009-11-01,24,32,1009,82,6,Partly cloudy
2009-11-02,24,31,1009,84,8,Overcast
2009-11-03,24,29,1011,94,9,Moderate or heavy rain shower
2009-11-04,24,31,1011,85,7,Cloudy
2009-11-05,24,30,1009,87,6,Patchy rain possible
2009-11-06,24,30,1009,91,6,Moderate or heavy rain shower
2009-11-07,24,29,1009,93,6,Moderate or heavy rain shower
2009-11-08,24,32,1009,87,5,Partly cloudy
2009-11-09,24,33,1007,84,5,Patchy rain possible
2009-11-10,24,31,1006,89,7,Moderate rain at times
2009-11-11,24,31,1007,89,7,Patchy rain possible
2009-11-12,24,31,1010,88,7,Patchy rain possible
2009-11-13,24,32,1010,85,5,Patchy rain possible
2009-11-14,24,33,1009,81,6,Patchy rain possible
2009-11-15,24,32,1009,83,4,Patchy rain possible
2009-11-16,24,32,1010,84,5,Patchy rain possible
2009-11-17,24,32,1011,83,5,Patchy rain possible
2009-11-18,24,32,1012,79,9,Partly cloudy
2009-11-19,24,32,1012,79,8,Partly cloudy
2009-11-20,24,30,1012,82,10,Cloudy
2009-11-21,24,30,1012,74,14,Cloudy
